"","id_match","league","season","date","team","goals_scored","goals_conceded","fouls_commited","fouls_opponent","yellow_cards","red_cards","result","VAR","status","month","team_status","top","postVar","treated"
"1",1,"Bundesliga","2008/2009",2008-08-15,"Bayern Munich",2,2,16,26,1,0,"D",0,"HomeTeam","2008-08",1,1,0,1
"2",1,"Bundesliga","2008/2009",2008-08-15,"Hamburg",2,2,26,16,4,0,"D",0,"AwayTeam","2008-08",0,0,0,1
"3",2,"Bundesliga","2008/2009",2008-08-16,"Bielefeld",2,2,18,13,2,0,"D",0,"HomeTeam","2008-08",1,0,0,1
"4",2,"Bundesliga","2008/2009",2008-08-16,"Werder Bremen",2,2,13,18,2,0,"D",0,"AwayTeam","2008-08",0,0,0,1
"5",3,"Bundesliga","2008/2009",2008-08-16,"Cottbus",0,3,21,32,2,0,"L",0,"HomeTeam","2008-08",1,0,0,1
"6",3,"Bundesliga","2008/2009",2008-08-16,"Hoffenheim",3,0,32,21,2,0,"W",0,"AwayTeam","2008-08",0,0,0,1
"7",4,"Bundesliga","2008/2009",2008-08-16,"Karlsruhe",1,0,20,22,2,0,"W",0,"HomeTeam","2008-08",1,0,0,1
"8",4,"Bundesliga","2008/2009",2008-08-16,"Bochum",0,1,22,20,4,0,"L",0,"AwayTeam","2008-08",0,0,0,1
"9",5,"Bundesliga","2008/2009",2008-08-16,"Leverkusen",2,3,13,20,3,0,"L",0,"HomeTeam","2008-08",1,0,0,1
"10",5,"Bundesliga","2008/2009",2008-08-16,"Dortmund",3,2,20,13,2,0,"W",0,"AwayTeam","2008-08",0,0,0,1
"11",6,"Bundesliga","2008/2009",2008-08-16,"Schalke 04",3,0,19,17,1,0,"W",0,"HomeTeam","2008-08",1,0,0,1
"12",6,"Bundesliga","2008/2009",2008-08-16,"Hannover",0,3,17,19,2,0,"L",0,"AwayTeam","2008-08",0,0,0,1
"13",7,"Bundesliga","2008/2009",2008-08-16,"Wolfsburg",2,1,10,13,0,0,"W",0,"HomeTeam","2008-08",1,1,0,1
"14",7,"Bundesliga","2008/2009",2008-08-16,"FC Koln",1,2,13,10,2,0,"L",0,"AwayTeam","2008-08",0,0,0,1
"15",8,"Bundesliga","2008/2009",2008-08-17,"Ein Frankfurt",0,2,7,19,0,0,"L",0,"HomeTeam","2008-08",1,0,0,1
"16",8,"Bundesliga","2008/2009",2008-08-17,"Hertha",2,0,19,7,1,0,"W",0,"AwayTeam","2008-08",0,0,0,1
"17",9,"Bundesliga","2008/2009",2008-08-17,"M'gladbach",1,3,20,15,3,0,"L",0,"HomeTeam","2008-08",1,0,0,1
"18",9,"Bundesliga","2008/2009",2008-08-17,"Stuttgart",3,1,15,20,2,0,"W",0,"AwayTeam","2008-08",0,1,0,1
"19",10,"Bundesliga","2008/2009",2008-08-22,"Hannover",0,0,17,25,4,0,"D",0,"HomeTeam","2008-08",1,0,0,1
"20",10,"Bundesliga","2008/2009",2008-08-22,"Cottbus",0,0,25,17,3,1,"D",0,"AwayTeam","2008-08",0,0,0,1
"21",11,"Bundesliga","2008/2009",2008-08-23,"Dortmund",1,1,24,17,2,0,"D",0,"HomeTeam","2008-08",1,0,0,1
"22",11,"Bundesliga","2008/2009",2008-08-23,"Bayern Munich",1,1,17,24,3,1,"D",0,"AwayTeam","2008-08",0,1,0,1
"23",12,"Bundesliga","2008/2009",2008-08-23,"Hamburg",2,1,17,18,2,0,"W",0,"HomeTeam","2008-08",1,0,0,1
"24",12,"Bundesliga","2008/2009",2008-08-23,"Karlsruhe",1,2,18,17,3,0,"L",0,"AwayTeam","2008-08",0,0,0,1
"25",13,"Bundesliga","2008/2009",2008-08-23,"Hertha",1,1,8,19,1,0,"D",0,"HomeTeam","2008-08",1,0,0,1
"26",13,"Bundesliga","2008/2009",2008-08-23,"Bielefeld",1,1,19,8,3,0,"D",0,"AwayTeam","2008-08",0,0,0,1
"27",14,"Bundesliga","2008/2009",2008-08-23,"Hoffenheim",1,0,17,27,1,0,"W",0,"HomeTeam","2008-08",1,0,0,1
"28",14,"Bundesliga","2008/2009",2008-08-23,"M'gladbach",0,1,27,17,4,0,"L",0,"AwayTeam","2008-08",0,0,0,1
"29",15,"Bundesliga","2008/2009",2008-08-23,"Stuttgart",0,2,10,23,1,0,"L",0,"HomeTeam","2008-08",1,1,0,1
"30",15,"Bundesliga","2008/2009",2008-08-23,"Leverkusen",2,0,23,10,4,0,"W",0,"AwayTeam","2008-08",0,0,0,1
"31",16,"Bundesliga","2008/2009",2008-08-23,"Werder Bremen",1,1,17,12,0,0,"D",0,"HomeTeam","2008-08",1,0,0,1
