"","id_match","league","season","date","team","goals_scored","goals_conceded","fouls_commited","fouls_opponent","yellow_cards","red_cards","result","VAR","status","month","team_status","postVar","treated"
"1",1,"Bundesliga 2","2017/2018",2017-07-28,"Bochum",0,1,12,10,1,0,"L",0,"HomeTeam","2017-07",1,0,1
"2",1,"Bundesliga 2","2017/2018",2017-07-28,"St Pauli",1,0,10,12,1,0,"W",0,"AwayTeam","2017-07",0,0,1
"3",2,"Bundesliga 2","2017/2018",2017-07-29,"Bielefeld",2,1,13,12,3,1,"W",0,"HomeTeam","2017-07",1,0,1
"4",2,"Bundesliga 2","2017/2018",2017-07-29,"Regensburg",1,2,12,13,3,0,"L",0,"AwayTeam","2017-07",0,0,1
"5",3,"Bundesliga 2","2017/2018",2017-07-29,"Darmstadt",1,0,13,21,1,0,"W",0,"HomeTeam","2017-07",1,0,1
"6",3,"Bundesliga 2","2017/2018",2017-07-29,"Greuther Furth",0,1,21,13,4,0,"L",0,"AwayTeam","2017-07",0,0,1
"7",4,"Bundesliga 2","2017/2018",2017-07-29,"Ingolstadt",0,1,13,17,0,0,"L",0,"HomeTeam","2017-07",1,0,1
"8",4,"Bundesliga 2","2017/2018",2017-07-29,"Union Berlin",1,0,17,13,3,0,"W",0,"AwayTeam","2017-07",0,0,1
"9",5,"Bundesliga 2","2017/2018",2017-07-30,"Dresden",1,0,10,17,1,0,"W",0,"HomeTeam","2017-07",1,0,1
"10",5,"Bundesliga 2","2017/2018",2017-07-30,"Duisburg",0,1,17,10,4,1,"L",0,"AwayTeam","2017-07",0,0,1
"11",6,"Bundesliga 2","2017/2018",2017-07-30,"Holstein Kiel",2,2,18,20,2,0,"D",0,"HomeTeam","2017-07",1,0,1
"12",6,"Bundesliga 2","2017/2018",2017-07-30,"Sandhausen",2,2,20,18,3,0,"D",0,"AwayTeam","2017-07",0,0,1
"13",7,"Bundesliga 2","2017/2018",2017-07-30,"Nurnberg",3,0,11,14,0,0,"W",0,"HomeTeam","2017-07",1,0,1
"14",7,"Bundesliga 2","2017/2018",2017-07-30,"Kaiserslautern",0,3,14,11,3,0,"L",0,"AwayTeam","2017-07",0,0,1
"15",8,"Bundesliga 2","2017/2018",2017-07-31,"Fortuna Dusseldorf",2,2,19,17,2,0,"D",0,"HomeTeam","2017-07",1,0,1
"16",8,"Bundesliga 2","2017/2018",2017-07-31,"Braunschweig",2,2,17,19,4,1,"D",0,"AwayTeam","2017-07",0,0,1
"17",9,"Bundesliga 2","2017/2018",2017-08-04,"Kaiserslautern",1,1,18,11,3,0,"D",0,"HomeTeam","2017-08",1,0,1
"18",9,"Bundesliga 2","2017/2018",2017-08-04,"Darmstadt",1,1,11,18,1,0,"D",0,"AwayTeam","2017-08",0,0,1
"19",10,"Bundesliga 2","2017/2018",2017-08-04,"Sandhausen",1,0,17,15,2,0,"W",0,"HomeTeam","2017-08",1,0,1
"20",10,"Bundesliga 2","2017/2018",2017-08-04,"Ingolstadt",0,1,15,17,2,0,"L",0,"AwayTeam","2017-08",0,0,1
"21",11,"Bundesliga 2","2017/2018",2017-08-04,"Union Berlin",4,3,16,15,2,0,"W",0,"HomeTeam","2017-08",1,0,1
"22",11,"Bundesliga 2","2017/2018",2017-08-04,"Holstein Kiel",3,4,15,16,2,0,"L",0,"AwayTeam","2017-08",0,0,1
"23",12,"Bundesliga 2","2017/2018",2017-08-05,"Braunschweig",2,0,11,19,0,0,"W",0,"HomeTeam","2017-08",1,0,1
"24",12,"Bundesliga 2","2017/2018",2017-08-05,"Heidenheim",0,2,19,11,2,0,"L",0,"AwayTeam","2017-08",0,0,1
"25",13,"Bundesliga 2","2017/2018",2017-08-05,"Duisburg",1,1,12,13,2,0,"D",0,"HomeTeam","2017-08",1,0,1
"26",13,"Bundesliga 2","2017/2018",2017-08-05,"Bochum",1,1,13,12,2,0,"D",0,"AwayTeam","2017-08",0,0,1
"27",14,"Bundesliga 2","2017/2018",2017-08-06,"Erzgebirge Aue",0,2,17,18,5,0,"L",0,"HomeTeam","2017-08",1,0,1
"28",14,"Bundesliga 2","2017/2018",2017-08-06,"Fortuna Dusseldorf",2,0,18,17,2,0,"W",0,"AwayTeam","2017-08",0,0,1
"29",15,"Bundesliga 2","2017/2018",2017-08-06,"Greuther Furth",1,2,17,12,0,0,"L",0,"HomeTeam","2017-08",1,0,1
"30",15,"Bundesliga 2","2017/2018",2017-08-06,"Bielefeld",2,1,12,17,1,0,"W",0,"AwayTeam","2017-08",0,0,1
"31",16,"Bundesliga 2","2017/2018",2017-08-06,"Regensburg",0,1,12,16,2,0,"L",0,"HomeTeam","2017-08",1,0,1
"32",16,"Bundesliga 2","2017/2018",2017-08-06,"Nurnberg",1,0,16,12,2,0,"W",0,"AwayTeam","2017-08",0,0,1
"33",17,"Bundesliga 2","2017/2018",2017-08-07,"St Pauli",2,2,10,15,1,0,"D",0,"HomeTeam","2017-08",1,0,1
"34",17,"Bundesliga 2","2017/2018",2017-08-07,"Dresden",2,2,15,10,3,0,"D",0,"AwayTeam","2017-08",0,0,1
"35",18,"Bundesliga 2","2017/2018",2017-08-09,"Heidenheim",2,1,20,17,2,0,"W",0,"HomeTeam","2017-08",1,0,1
"36",18,"Bundesliga 2","2017/2018",2017-08-09,"Erzgebirge Aue",1,2,17,20,3,1,"L",0,"AwayTeam","2017-08",0,0,1
"37",19,"Bundesliga 2","2017/2018",2017-08-18,"Braunschweig",1,1,15,14,2,0,"D",0,"HomeTeam","2017-08",1,0,1
"38",19,"Bundesliga 2","2017/2018",2017-08-18,"Erzgebirge Aue",1,1,14,15,4,0,"D",0,"AwayTeam","2017-08",0,0,1
"39",20,"Bundesliga 2","2017/2018",2017-08-18,"Darmstadt",3,0,11,13,2,0,"W",0,"HomeTeam","2017-08",1,0,1
"40",20,"Bundesliga 2","2017/2018",2017-08-18,"St Pauli",0,3,13,11,1,0,"L",0,"AwayTeam","2017-08",0,0,1
"41",21,"Bundesliga 2","2017/2018",2017-08-19,"Dresden",0,4,15,24,3,0,"L",0,"HomeTeam","2017-08",1,0,1
"42",21,"Bundesliga 2","2017/2018",2017-08-19,"Sandhausen",4,0,24,15,0,0,"W",0,"AwayTeam","2017-08",0,0,1
"43",22,"Bundesliga 2","2017/2018",2017-08-19,"Fortuna Dusseldorf",2,0,10,18,3,0,"W",0,"HomeTeam","2017-08",1,0,1
"44",22,"Bundesliga 2","2017/2018",2017-08-19,"Kaiserslautern",0,2,18,10,3,0,"L",0,"AwayTeam","2017-08",0,0,1
"45",23,"Bundesliga 2","2017/2018",2017-08-19,"Heidenheim",1,2,11,16,2,0,"L",0,"HomeTeam","2017-08",1,0,1
"46",23,"Bundesliga 2","2017/2018",2017-08-19,"Duisburg",2,1,16,11,3,0,"W",0,"AwayTeam","2017-08",0,0,1
"47",24,"Bundesliga 2","2017/2018",2017-08-20,"Holstein Kiel",3,1,15,14,3,0,"W",0,"HomeTeam","2017-08",1,0,1
"48",24,"Bundesliga 2","2017/2018",2017-08-20,"Greuther Furth",1,3,14,15,2,0,"L",0,"AwayTeam","2017-08",0,0,1
"49",25,"Bundesliga 2","2017/2018",2017-08-20,"Ingolstadt",2,4,16,20,3,0,"L",0,"HomeTeam","2017-08",1,0,1
"50",25,"Bundesliga 2","2017/2018",2017-08-20,"Regensburg",4,2,20,16,2,0,"W",0,"AwayTeam","2017-08",0,0,1
"51",26,"Bundesliga 2","2017/2018",2017-08-20,"Nurnberg",2,2,17,19,1,0,"D",0,"HomeTeam","2017-08",1,0,1
"52",26,"Bundesliga 2","2017/2018",2017-08-20,"Union Berlin",2,2,19,17,1,1,"D",0,"AwayTeam","2017-08",0,0,1
"53",27,"Bundesliga 2","2017/2018",2017-08-21,"Bielefeld",2,0,19,4,2,0,"W",0,"HomeTeam","2017-08",1,0,1
"54",27,"Bundesliga 2","2017/2018",2017-08-21,"Bochum",0,2,4,19,1,0,"L",0,"AwayTeam","2017-08",0,0,1
"55",28,"Bundesliga 2","2017/2018",2017-08-25,"Duisburg",1,2,17,13,2,0,"L",0,"HomeTeam","2017-08",1,0,1
"56",28,"Bundesliga 2","2017/2018",2017-08-25,"Darmstadt",2,1,13,17,1,0,"W",0,"AwayTeam","2017-08",0,0,1
"57",29,"Bundesliga 2","2017/2018",2017-08-25,"Greuther Furth",0,1,12,12,3,1,"L",0,"HomeTeam","2017-08",1,0,1
"58",29,"Bundesliga 2","2017/2018",2017-08-25,"Ingolstadt",1,0,12,12,1,0,"W",0,"AwayTeam","2017-08",0,0,1
"59",30,"Bundesliga 2","2017/2018",2017-08-26,"Erzgebirge Aue",3,1,12,15,3,0,"W",0,"HomeTeam","2017-08",1,0,1
"60",30,"Bundesliga 2","2017/2018",2017-08-26,"Nurnberg",1,3,15,12,2,0,"L",0,"AwayTeam","2017-08",0,0,1
"61",31,"Bundesliga 2","2017/2018",2017-08-26,"Regensburg",1,2,18,22,4,0,"L",0,"HomeTeam","2017-08",1,0,1
"62",31,"Bundesliga 2","2017/2018",2017-08-26,"Holstein Kiel",2,1,22,18,3,0,"W",0,"AwayTeam","2017-08",0,0,1
"63",32,"Bundesliga 2","2017/2018",2017-08-26,"St Pauli",1,0,10,14,0,0,"W",0,"HomeTeam","2017-08",1,0,1
"64",32,"Bundesliga 2","2017/2018",2017-08-26,"Heidenheim",0,1,14,10,3,0,"L",0,"AwayTeam","2017-08",0,0,1
"65",33,"Bundesliga 2","2017/2018",2017-08-27,"Bochum",3,2,14,15,3,0,"W",0,"HomeTeam","2017-08",1,0,1
"66",33,"Bundesliga 2","2017/2018",2017-08-27,"Dresden",2,3,15,14,4,0,"L",0,"AwayTeam","2017-08",0,0,1
"67",34,"Bundesliga 2","2017/2018",2017-08-27,"Sandhausen",1,2,23,24,3,0,"L",0,"HomeTeam","2017-08",1,0,1
"68",34,"Bundesliga 2","2017/2018",2017-08-27,"Fortuna Dusseldorf",2,1,24,23,4,0,"W",0,"AwayTeam","2017-08",0,0,1
"69",35,"Bundesliga 2","2017/2018",2017-08-27,"Union Berlin",1,1,12,18,1,0,"D",0,"HomeTeam","2017-08",1,0,1
"70",35,"Bundesliga 2","2017/2018",2017-08-27,"Bielefeld",1,1,18,12,3,0,"D",0,"AwayTeam","2017-08",0,0,1
"71",36,"Bundesliga 2","2017/2018",2017-08-28,"Kaiserslautern",1,1,20,23,3,0,"D",0,"HomeTeam","2017-08",1,0,1
"72",36,"Bundesliga 2","2017/2018",2017-08-28,"Braunschweig",1,1,23,20,4,0,"D",0,"AwayTeam","2017-08",0,0,1
"73",37,"Bundesliga 2","2017/2018",2017-09-08,"Dresden",1,1,12,17,1,0,"D",0,"HomeTeam","2017-09",1,0,1
"74",37,"Bundesliga 2","2017/2018",2017-09-08,"Greuther Furth",1,1,17,12,3,0,"D",0,"AwayTeam","2017-09",0,0,1
"75",38,"Bundesliga 2","2017/2018",2017-09-08,"Heidenheim",1,3,13,15,2,0,"L",0,"HomeTeam","2017-09",1,0,1
"76",38,"Bundesliga 2","2017/2018",2017-09-08,"Regensburg",3,1,15,13,1,0,"W",0,"AwayTeam","2017-09",0,0,1
"77",39,"Bundesliga 2","2017/2018",2017-09-09,"Bielefeld",0,4,10,10,1,0,"L",0,"HomeTeam","2017-09",1,0,1
"78",39,"Bundesliga 2","2017/2018",2017-09-09,"Duisburg",4,0,10,10,3,0,"W",0,"AwayTeam","2017-09",0,0,1
"79",40,"Bundesliga 2","2017/2018",2017-09-09,"Holstein Kiel",2,1,14,12,3,0,"W",0,"HomeTeam","2017-09",1,0,1
"80",40,"Bundesliga 2","2017/2018",2017-09-09,"Kaiserslautern",1,2,12,14,2,0,"L",0,"AwayTeam","2017-09",0,0,1
"81",41,"Bundesliga 2","2017/2018",2017-09-09,"Ingolstadt",1,2,14,22,2,0,"L",0,"HomeTeam","2017-09",1,0,1
